-----lexema----------token----------category---------scope------------type-----------value------
    output     |      id       |   variable    |    global     |    integer    |     55555     
      aux      |      id       |   variable    |    global     |    integer    |       1       
    lenght     |      id       |   variable    |    global     |    integer    |       5       
    entrada    |      id       |   variable    |    global     |    integer    |       5       
     print     |      id       |   variable    |    global     |    boolean    |       1       
    isover     |      id       |   variable    |    global     |    boolean    |       1       
      pot      |      id       |   function    |    global     |    integer    |     10000     


-----lexema----------token----------category---------scope------------type-----------value------
    !begin     |      id       |   variable    |  global-pot   |    integer    |      20       
     !end      |      id       |   variable    |  global-pot   |    integer    |      62       
       n       |      id       |  parameter0   |  global-pot   |    integer    |     None      
       m       |      id       |  parameter1   |  global-pot   |    boolean    |     None      
     count     |      id       |   variable    |  global-pot   |    integer    |     None      


